"Elementary and secondary public school expenditures as a percentage of gross domestic product, by state: 2000, 2005, and 2010",,,,,,,,,,,,
,Public school expenditures ($thousands),,,,,State GDP ($millions),,,,School expenditures/GDP (%),,
Massachusetts,"8,511,065","11,357,857","14,067,276",*,,"273,006","323,314","376,908",,3.12,3.51,3.73
Michigan,"13,994,294","16,353,921","17,227,515",,,"337,459","375,753","367,107",,4.15,4.35,4.69
Minnesota,"6,140,442","7,310,284","8,927,288",*,,"188,818","237,813","268,578",,3.25,3.07,3.32
Mississippi,"2,510,376","3,243,888","3,990,876",*,,"65,625","81,360","95,763",,3.83,3.99,4.17
Missouri,"5,655,531","7,115,207","8,923,448",*,,"180,967","216,336","243,876",,3.13,3.29,3.66
Montana,"994,770","1,193,182","1,498,252",,,"21,633","30,054","36,521",,4.60,3.97,4.10
Nebraska,"1,926,500","2,512,914","3,247,970",,,"57,333","72,505","90,910",,3.36,3.47,3.57
Nevada,"1,875,467","2,722,264","3,592,994",,,"75,895","114,478","124,838",,2.47,2.38,2.88
New Hampshire,"1,418,503","2,021,144","2,576,956",,,"44,161","53,693","61,147",,3.21,3.76,4.21
New Jersey,"13,327,645","19,669,576","24,261,392",,,"350,110","430,246","483,007",,3.81,4.57,5.02
New Mexico,"1,890,274","2,554,638","3,217,328",,,"50,294","67,763","77,686",,3.76,3.77,4.14
New York,"28,433,240","38,866,853","50,251,461",*,,"769,291","959,867","1,136,417",,3.70,4.05,4.42
North Carolina,"7,713,293","9,567,000","12,200,362",,,"281,542","354,664","426,875",,2.74,2.70,2.86
North Dakota,"638,946","786,870","1,000,095",,,"18,266","24,670","35,357",,3.50,3.19,2.83
Ohio,"12,974,575","17,167,866","19,801,670",,,"380,895","444,083","465,679",,3.41,3.87,4.25
Oklahoma,"3,382,581","4,161,024","5,192,124",,,"91,273","120,529","147,649",,3.71,3.45,3.52
Oregon,"3,896,287","4,458,028","5,401,667",,,"113,180","143,429","181,523",,3.44,3.11,2.98
Pennsylvania,"14,120,112","18,711,100","22,733,518",,,"395,602","482,200","558,818",,3.57,3.88,4.07
Rhode Island,"1,393,143","1,825,900","2,136,582",*,,"33,584","44,189","48,572",,4.15,4.13,4.40
South Carolina,"4,087,355","5,312,739","6,566,165",,,"115,443","141,877","162,292",,3.54,3.74,4.05
South Dakota,"737,998","916,563","1,115,861",,,"24,038","31,549","38,297",,3.07,2.91,2.91
Tennessee,"4,931,734","6,446,691","7,894,661",,,"177,540","224,288","253,602",,2.78,2.87,3.11
Texas,"25,098,703","31,919,107","42,621,886",,,"731,064","968,553","1,226,714",,3.43,3.30,3.47
Utah,"2,102,655","2,627,022","3,635,085",,,"69,489","90,616","118,225",,3.03,2.90,3.07
Vermont,"870,198","1,177,478","1,463,792",,,"18,039","22,743","25,809",,4.82,5.18,5.67
Virginia,"7,757,598","10,705,162","13,193,633",,,"261,759","356,370","422,763",,2.96,3.00,3.12
Washington,"6,399,883","7,870,979","9,832,913",,,"227,704","279,333","342,702",,2.81,2.82,2.87
West Virginia,"2,086,937","2,527,767","3,315,648",,,"41,386","51,857","62,732",,5.04,4.87,5.29
Wisconsin,"6,852,178","8,435,359","9,918,809",,,"177,355","218,689","245,415",,3.86,3.86,4.04
Wyoming,"683,918","863,423","1,334,655",,,"17,050","26,250","36,459",,4.01,3.29,3.66
,,,,,,,,,,,,
Puerto Rico,"2,086,414","2,865,945","3,464,044",*,,"69,208","86,158",NA,,3.00,3.30,NA
